P_AccountNumber,P_Password,P_R_Account,P_Amount
IQ11247,welcome,IQ11302,1000
IQ11250,welcome,IQ11301,6000
IQ11252,welcome,IQ11299,10000
IQ11255,welcome,IQ11296,5000
IQ11257,welcome,IQ11294,1000
IQ11259,welcome,IQ11291,6000
IQ11261,welcome,IQ11289,10000
IQ11262,welcome,IQ11286,5000
IQ11263,welcome,IQ11284,1000
IQ11264,welcome,IQ11281,6000
IQ11266,welcome,IQ11279,10000
IQ11268,welcome,IQ11276,5000
IQ11271,welcome,IQ11274,1000
IQ11274,welcome,IQ11271,6000
IQ11276,welcome,IQ11268,10000
IQ11279,welcome,IQ11266,5000
IQ11281,welcome,IQ11264,1000
IQ11284,welcome,IQ11263,6000
IQ11286,welcome,IQ11262,10000
IQ11289,welcome,IQ11261,5000
IQ11291,welcome,IQ11259,1000
IQ11294,welcome,IQ11257,6000
IQ11296,welcome,IQ11255,10000
IQ11299,welcome,IQ11252,5000
IQ11301,welcome,IQ11250,1000
IQ11302,welcome,IQ11247,6000
IQ10707,welcome,IQ11011,10000
IQ10708,welcome,IQ11010,5000
IQ10709,welcome,IQ11009,1000
IQ10710,welcome,IQ11008,6000
IQ10711,welcome,IQ11007,10000
IQ10712,welcome,IQ11006,5000
IQ10713,welcome,IQ11005,1000
IQ10714,welcome,IQ11004,6000
IQ10715,welcome,IQ11003,10000
IQ10716,welcome,IQ11001,5000
IQ10717,welcome,IQ11000,1000
IQ10718,welcome,IQ10999,6000
IQ10719,welcome,IQ10998,10000
IQ10720,welcome,IQ10997,5000
IQ10721,welcome,IQ10995,1000
IQ10722,welcome,IQ10994,6000
IQ10723,welcome,IQ10993,10000
IQ10724,welcome,IQ10992,5000
IQ10725,welcome,IQ10991,1000
IQ10726,welcome,IQ10990,6000
IQ10727,welcome,IQ10988,10000
IQ10728,welcome,IQ10987,5000
IQ10729,welcome,IQ10986,1000
IQ10730,welcome,IQ10985,6000
IQ10731,welcome,IQ10983,10000
