P_AccountNumber,P_Password,P_Loanamount,P_FirstName,P_LastName,P_PhoneNumber,P_Mobile,P_Pincode,P_OfficeAddress,P_Email,P_PAN,P_CurrentAddress,P_Nameofcompany
IQ11247,welcome,10000,ss,tt,7896543567,7896543567,524305,banglore,ss@gmail.com,789tyhufr,banglore,Innova
IQ11250,welcome,100000,ss1,tt1,8975432457,8975432457,897675,mumbai,ss1@gmail.com,io8965409,mumbai,Technova
IQ11252,welcome,90000,ss2,tt2,8906543678,8906543678,567890,pune,ss2@gmail.com,789tyhufr,pune,Prime
IQ11255,welcome,80000,ss3,tt3,8906543679,8906543679,789654,orrisa,ss1@gmail.com,io8965409,orrisa,Innova
IQ11257,welcome,10000,ss4,tt4,8907654326,8907654326,524305,banglore,ss2@gmail.com,789tyhufr,banglore,Technova
IQ11259,welcome,100000,ss5,tt5,7896543567,7896543567,897675,mumbai,ss1@gmail.com,io8965409,mumbai,Prime
IQ11261,welcome,90000,ss6,tt6,8975432457,8975432457,567890,pune,ss2@gmail.com,789tyhufr,pune,Innova
IQ11262,welcome,80000,ss7,tt7,8906543678,8906543678,789654,orrisa,ss1@gmail.com,io8965409,orrisa,Technova
IQ11263,welcome,10000,ss8,tt8,8906543679,8906543679,524305,banglore,ss2@gmail.com,789tyhufr,banglore,Prime
IQ11264,welcome,100000,ss9,tt9,8907654326,8907654326,897675,mumbai,ss1@gmail.com,io8965409,mumbai,Innova
IQ11266,welcome,90000,ss10,tt10,7896543567,7896543567,567890,pune,ss2@gmail.com,789tyhufr,pune,Technova
IQ11268,welcome,80000,ss11,tt11,8975432457,8975432457,789654,orrisa,ss1@gmail.com,io8965409,orrisa,Prime
IQ11271,welcome,10000,ss12,tt12,8906543678,8906543678,524305,banglore,ss2@gmail.com,789tyhufr,banglore,Innova
IQ11274,welcome,100000,ss13,tt13,8906543679,8906543679,897675,mumbai,ss1@gmail.com,io8965409,mumbai,Technova
IQ11276,welcome,90000,ss14,tt14,8907654326,8907654326,567890,pune,ss2@gmail.com,789tyhufr,pune,Prime
IQ11279,welcome,80000,ss15,tt15,7896543567,7896543567,789654,orrisa,ss1@gmail.com,io8965409,orrisa,Innova
IQ11281,welcome,10000,ss16,tt16,8975432457,8975432457,524305,banglore,ss2@gmail.com,789tyhufr,banglore,Technova
IQ11284,welcome,100000,ss17,tt17,8906543678,8906543678,897675,mumbai,ss1@gmail.com,io8965409,mumbai,Prime
IQ11286,welcome,90000,ss18,tt18,8906543679,8906543679,567890,pune,ss2@gmail.com,789tyhufr,pune,Innova
IQ11289,welcome,80000,ss19,tt19,8907654326,8907654326,789654,orrisa,ss1@gmail.com,io8965409,orrisa,Technova
IQ11291,welcome,10000,ss20,tt20,7896543567,7896543567,524305,banglore,ss2@gmail.com,789tyhufr,banglore,Prime
IQ11294,welcome,100000,ss21,tt21,8975432457,8975432457,897675,mumbai,ss1@gmail.com,io8965409,mumbai,Innova
IQ11296,welcome,90000,ss22,tt22,8906543678,8906543678,567890,pune,ss2@gmail.com,789tyhufr,pune,Technova
IQ11299,welcome,80000,ss23,tt23,8906543679,8906543679,789654,orrisa,ss1@gmail.com,io8965409,orrisa,Prime
IQ11301,welcome,10000,ss24,tt24,8907654326,8907654326,524305,banglore,ss2@gmail.com,789tyhufr,banglore,Innova
IQ11302,welcome,100000,ss25,tt25,7896543567,7896543567,897675,mumbai,ss1@gmail.com,io8965409,mumbai,Technova
IQ10707,welcome,90000,ss26,tt26,8975432457,8975432457,567890,pune,ss2@gmail.com,789tyhufr,pune,Prime
